system,combo,condition,metric,mean,std,n_seeds
ReLU FC teacher,,ID: CA-2018 (trained on),total_acc,81.28,0.09,5
ReLU FC teacher,,Geo: MS-2018,total_acc,73.73,0.66,5
ReLU FC teacher,,Geo: WY-2018,total_acc,74.61,0.57,5
ReLU FC teacher,,Geo: WV-2018,total_acc,74.61,0.69,5
ReLU FC teacher,,Temporal: CA-2019,total_acc,80.74,0.09,5
ReLU FC teacher,,Temporal: CA-2021,total_acc,79.82,0.13,5
ReLU FC teacher,,Temporal: CA-2022,total_acc,79.44,0.11,5
ReLU FC teacher,,GEO-AVG,total_acc,74.32,0.56,5
ReLU FC teacher,,TEMP-AVG,total_acc,80.0,0.09,5
Bernstein student,,ID: CA-2018 (trained on),total_acc,80.89,0.29,5
Bernstein student,,Geo: MS-2018,total_acc,73.79,0.67,5
Bernstein student,,Geo: WY-2018,total_acc,74.77,0.61,5
Bernstein student,,Geo: WV-2018,total_acc,74.79,0.8,5
Bernstein student,,Temporal: CA-2019,total_acc,80.49,0.32,5
Bernstein student,,Temporal: CA-2021,total_acc,79.67,0.38,5
Bernstein student,,Temporal: CA-2022,total_acc,79.26,0.37,5
Bernstein student,,GEO-AVG,total_acc,74.45,0.67,5
Bernstein student,,TEMP-AVG,total_acc,79.81,0.36,5
ReLU student (same size),,ID: CA-2018 (trained on),total_acc,80.55,0.15,5
ReLU student (same size),,Geo: MS-2018,total_acc,73.42,0.75,5
ReLU student (same size),,Geo: WY-2018,total_acc,74.45,0.81,5
ReLU student (same size),,Geo: WV-2018,total_acc,74.43,0.73,5
ReLU student (same size),,Temporal: CA-2019,total_acc,80.03,0.15,5
ReLU student (same size),,Temporal: CA-2021,total_acc,79.23,0.19,5
ReLU student (same size),,Temporal: CA-2022,total_acc,78.84,0.25,5
ReLU student (same size),,GEO-AVG,total_acc,74.1,0.74,5
ReLU student (same size),,TEMP-AVG,total_acc,79.36,0.19,5
Rules + CART fallback,sc0.1_cf0.2,ID: CA-2018 (trained on),coverage_pct,90.09,0.86,5
Rules + CART fallback,sc0.1_cf0.2,Geo: MS-2018,coverage_pct,86.1,0.96,5
Rules + CART fallback,sc0.1_cf0.2,Geo: WY-2018,coverage_pct,85.07,1.68,5
Rules + CART fallback,sc0.1_cf0.2,Geo: WV-2018,coverage_pct,86.29,1.51,5
Rules + CART fallback,sc0.1_cf0.2,Temporal: CA-2019,coverage_pct,90.01,0.89,5
Rules + CART fallback,sc0.1_cf0.2,Temporal: CA-2021,coverage_pct,90.35,0.77,5
Rules + CART fallback,sc0.1_cf0.2,Temporal: CA-2022,coverage_pct,90.35,0.71,5
Rules + CART fallback,sc0.1_cf0.2,GEO-AVG,coverage_pct,85.82,1.36,5
Rules + CART fallback,sc0.1_cf0.2,TEMP-AVG,coverage_pct,90.24,0.78,5
Rules + CART fallback,sc0.1_cf0.2,ID: CA-2018 (trained on),covered_acc,80.29,0.2,5
Rules + CART fallback,sc0.1_cf0.2,Geo: MS-2018,covered_acc,77.31,1.34,5
Rules + CART fallback,sc0.1_cf0.2,Geo: WY-2018,covered_acc,74.82,0.92,5
Rules + CART fallback,sc0.1_cf0.2,Geo: WV-2018,covered_acc,77.09,0.96,5
Rules + CART fallback,sc0.1_cf0.2,Temporal: CA-2019,covered_acc,79.38,0.31,5
Rules + CART fallback,sc0.1_cf0.2,Temporal: CA-2021,covered_acc,78.62,0.43,5
Rules + CART fallback,sc0.1_cf0.2,Temporal: CA-2022,covered_acc,78.0,0.53,5
Rules + CART fallback,sc0.1_cf0.2,GEO-AVG,covered_acc,76.41,0.94,5
Rules + CART fallback,sc0.1_cf0.2,TEMP-AVG,covered_acc,78.67,0.42,5
Rules + CART fallback,sc0.1_cf0.2,ID: CA-2018 (trained on),total_acc,78.58,0.12,5
Rules + CART fallback,sc0.1_cf0.2,Geo: MS-2018,total_acc,73.41,1.08,5
Rules + CART fallback,sc0.1_cf0.2,Geo: WY-2018,total_acc,72.44,1.41,5
Rules + CART fallback,sc0.1_cf0.2,Geo: WV-2018,total_acc,73.61,1.55,5
Rules + CART fallback,sc0.1_cf0.2,Temporal: CA-2019,total_acc,77.78,0.15,5
Rules + CART fallback,sc0.1_cf0.2,Temporal: CA-2021,total_acc,77.24,0.32,5
Rules + CART fallback,sc0.1_cf0.2,Temporal: CA-2022,total_acc,76.7,0.41,5
Rules + CART fallback,sc0.1_cf0.2,GEO-AVG,total_acc,73.15,1.32,5
Rules + CART fallback,sc0.1_cf0.2,TEMP-AVG,total_acc,77.24,0.29,5
