seed,alpha_sc,alpha_conf,system,condition,coverage_pct,covered_acc,total_acc
42,,,ReLU FC teacher,ID: CA-2018 (trained on),,,81.33
42,,,ReLU FC teacher,Geo: MS-2018,,,73.5
42,,,ReLU FC teacher,Geo: WY-2018,,,75.29
42,,,ReLU FC teacher,Geo: WV-2018,,,74.48
42,,,ReLU FC teacher,Temporal: CA-2019,,,80.63
42,,,ReLU FC teacher,Temporal: CA-2021,,,79.64
42,,,ReLU FC teacher,Temporal: CA-2022,,,79.26
42,,,Bernstein student,ID: CA-2018 (trained on),,,80.64
42,,,Bernstein student,Geo: MS-2018,,,72.97
42,,,Bernstein student,Geo: WY-2018,,,73.89
42,,,Bernstein student,Geo: WV-2018,,,73.74
42,,,Bernstein student,Temporal: CA-2019,,,80.22
42,,,Bernstein student,Temporal: CA-2021,,,79.31
42,,,Bernstein student,Temporal: CA-2022,,,78.96
42,,,ReLU student (same size),ID: CA-2018 (trained on),,,80.48
42,,,ReLU student (same size),Geo: MS-2018,,,73.5
42,,,ReLU student (same size),Geo: WY-2018,,,74.87
42,,,ReLU student (same size),Geo: WV-2018,,,74.36
42,,,ReLU student (same size),Temporal: CA-2019,,,80.08
42,,,ReLU student (same size),Temporal: CA-2021,,,79.23
42,,,ReLU student (same size),Temporal: CA-2022,,,78.89
42,0.1,0.2,Rules + CART fallback,ID: CA-2018 (trained on),91.15,80.31,78.62
42,0.1,0.2,Rules + CART fallback,Geo: MS-2018,85.97,75.15,73.72
42,0.1,0.2,Rules + CART fallback,Geo: WY-2018,84.6,74.69,74.02
42,0.1,0.2,Rules + CART fallback,Geo: WV-2018,85.36,76.17,74.38
42,0.1,0.2,Rules + CART fallback,Temporal: CA-2019,90.91,79.53,77.81
42,0.1,0.2,Rules + CART fallback,Temporal: CA-2021,90.89,78.73,77.08
42,0.1,0.2,Rules + CART fallback,Temporal: CA-2022,90.83,78.17,76.47
1,,,ReLU FC teacher,ID: CA-2018 (trained on),,,81.12
1,,,ReLU FC teacher,Geo: MS-2018,,,74.0
1,,,ReLU FC teacher,Geo: WY-2018,,,74.41
1,,,ReLU FC teacher,Geo: WV-2018,,,75.27
1,,,ReLU FC teacher,Temporal: CA-2019,,,80.69
1,,,ReLU FC teacher,Temporal: CA-2021,,,79.93
1,,,ReLU FC teacher,Temporal: CA-2022,,,79.48
