sparsity_k,arch,same_cov_alpha,conflict_alpha,n_rules,test_covered_pct,test_covered_rule_acc,test_rule_acc,n_conflicts,avg_conditions,rule_json
1,14x32x2,0.1,0.2,35,94.98,80.69,77.67,796,1.94,Adult/figure10_sparsity_sweep/artifacts/kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_k1.json
2,14x32x2,0.1,0.2,35,97.48,82.37,79.43,1326,1.94,Adult/figure10_sparsity_sweep/artifacts/kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_k2.json
3,14x32x2,0.1,0.2,35,92.55,83.02,79.49,895,1.94,Adult/figure10_sparsity_sweep/artifacts/kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_k3.json
4,14x32x2,0.1,0.2,35,93.0,83.68,79.02,727,1.94,Adult/figure10_sparsity_sweep/artifacts/kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_k4.json
5,14x32x2,0.1,0.2,35,91.12,84.74,80.65,657,1.94,Adult/figure10_sparsity_sweep/artifacts/kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_k5.json
6,14x32x2,0.1,0.2,35,89.74,86.66,81.08,584,1.94,Adult/figure10_sparsity_sweep/artifacts/kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_k6.json
7,14x32x2,0.1,0.2,35,87.08,85.86,81.96,271,1.94,Adult/figure10_sparsity_sweep/artifacts/kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_k7.json
8,14x32x2,0.1,0.2,35,94.01,83.14,81.24,330,1.94,Adult/figure10_sparsity_sweep/artifacts/kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_k8.json
9,14x32x2,0.1,0.2,35,90.66,85.0,81.77,289,1.94,Adult/figure10_sparsity_sweep/artifacts/kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_k9.json
10,14x32x2,0.1,0.2,35,96.51,83.18,81.27,451,1.94,Adult/figure10_sparsity_sweep/artifacts/kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_k10.json
11,14x32x2,0.1,0.2,35,97.15,82.71,81.42,319,1.94,Adult/figure10_sparsity_sweep/artifacts/kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_k11.json
12,14x32x2,0.1,0.2,35,97.7,81.55,80.56,279,1.94,Adult/figure10_sparsity_sweep/artifacts/kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_k12.json
13,14x32x2,0.1,0.2,35,91.08,84.89,81.99,142,1.94,Adult/figure10_sparsity_sweep/artifacts/kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_k13.json
