arch,same_cov_alpha,conflict_alpha,n_rules,test_covered_pct,test_covered_rule_acc,test_rule_acc,reevaluated_test_covered_pct,reevaluated_test_rule_acc,n_conflicts,avg_conditions,rule_json,cart_npz
14x128x2,0.0,0.5,139,100.0,78.83,75.21,100.0,75.21,499,1.54,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.0_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.0_ca0.5_tree.npz
14x128x2,0.1,0.5,86,83.91,83.53,77.71,83.91,77.71,708,1.79,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.1_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.1_ca0.5_tree.npz
14x128x2,0.2,0.5,76,82.33,84.66,79.08,82.33,79.08,834,1.68,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.2_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.2_ca0.5_tree.npz
14x128x2,0.3,0.5,69,80.49,84.55,79.22,80.49,79.22,788,1.65,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.3_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.3_ca0.5_tree.npz
14x128x2,0.4,0.5,64,72.27,83.37,76.99,72.27,76.99,487,1.69,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.4_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.4_ca0.5_tree.npz
14x128x2,0.5,0.0,61,64.58,83.99,79.15,64.57,79.15,449,1.64,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.0.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.0_tree.npz
14x128x2,0.5,0.1,61,64.58,83.99,79.15,64.57,79.15,449,1.64,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1_tree.npz
14x128x2,0.5,0.2,62,65.96,84.01,80.52,65.95,80.52,628,1.63,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.2.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.2_tree.npz
14x128x2,0.5,0.3,62,65.96,84.01,80.52,65.95,80.52,628,1.63,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.3.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.3_tree.npz
14x128x2,0.5,0.4,62,65.96,84.01,80.52,65.95,80.52,628,1.63,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.4.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.4_tree.npz
14x128x2,0.5,0.5,62,65.96,84.01,80.52,65.95,80.52,628,1.63,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.5_tree.npz
14x128x2,0.5,0.6,61,64.61,83.98,80.77,64.6,80.77,456,1.62,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.6.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.6_tree.npz
14x128x2,0.5,0.7,60,64.05,82.72,80.95,64.04,80.95,302,1.67,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.7.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.7_tree.npz
14x128x2,0.5,0.8,60,64.05,82.72,80.95,64.04,80.95,302,1.67,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.8.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.8_tree.npz
14x128x2,0.5,0.9,60,64.05,82.72,80.95,64.04,80.95,302,1.67,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.9.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.9_tree.npz
14x128x2,0.5,1.0,60,64.05,82.72,80.95,64.04,80.95,302,1.67,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca1.0.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca1.0_tree.npz
14x128x2,0.6,0.5,61,69.13,83.78,79.71,69.12,79.71,688,1.61,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.6_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.6_ca0.5_tree.npz
14x128x2,0.7,0.5,57,68.49,83.81,80.0,68.49,80.0,654,1.58,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.7_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.7_ca0.5_tree.npz
14x128x2,0.8,0.5,54,67.39,82.99,79.8,67.39,79.8,581,1.59,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.8_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.8_ca0.5_tree.npz
14x128x2,0.9,0.5,50,62.22,82.18,79.64,62.22,79.64,475,1.56,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.9_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.9_ca0.5_tree.npz
14x128x2,1.0,0.5,58,63.07,81.35,78.39,63.07,78.39,463,1.76,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca1.0_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca1.0_ca0.5_tree.npz
14x16x2,0.0,0.5,82,99.64,80.67,75.23,99.64,75.23,796,1.61,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.0_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.0_ca0.5_tree.npz
14x16x2,0.1,0.5,43,83.6,86.7,79.27,83.6,79.27,286,1.6,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.1_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.1_ca0.5_tree.npz
14x16x2,0.2,0.5,37,83.39,86.64,81.18,83.39,81.18,271,1.51,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.2_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.2_ca0.5_tree.npz
14x16x2,0.3,0.5,39,76.15,86.82,81.63,76.15,81.63,252,1.79,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.3_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.3_ca0.5_tree.npz
14x16x2,0.4,0.5,35,70.47,86.85,81.76,70.47,81.76,217,1.77,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.4_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.4_ca0.5_tree.npz
14x16x2,0.5,0.0,38,71.67,86.64,81.99,71.67,81.99,208,1.76,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.0.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.0_tree.npz
14x16x2,0.5,0.1,37,71.67,86.64,81.99,71.67,81.99,208,1.76,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1_tree.npz
14x16x2,0.5,0.2,37,71.67,86.64,81.99,71.67,81.99,208,1.76,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.2.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.2_tree.npz
14x16x2,0.5,0.3,37,71.67,86.64,81.99,71.67,81.99,208,1.76,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.3.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.3_tree.npz
14x16x2,0.5,0.4,37,71.67,86.64,81.99,71.67,81.99,208,1.76,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.4.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.4_tree.npz
14x16x2,0.5,0.5,36,71.32,86.56,81.98,71.32,81.98,199,1.75,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.5_tree.npz
14x16x2,0.5,0.6,36,71.32,86.56,81.98,71.32,81.98,199,1.75,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.6.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.6_tree.npz
14x16x2,0.5,0.7,36,71.32,86.56,81.98,71.32,81.98,199,1.75,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.7.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.7_tree.npz
14x16x2,0.5,0.8,36,71.32,86.56,81.98,71.32,81.98,199,1.75,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.8.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.8_tree.npz
14x16x2,0.5,0.9,36,69.62,84.58,81.58,69.62,81.58,93,1.75,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.9.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.9_tree.npz
14x16x2,0.5,1.0,36,69.62,84.58,81.58,69.62,81.58,93,1.75,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca1.0.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca1.0_tree.npz
14x16x2,0.6,0.5,33,53.9,88.02,83.07,53.9,83.07,106,1.82,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.6_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.6_ca0.5_tree.npz
14x16x2,0.7,0.5,31,56.06,86.29,82.0,56.06,82.0,192,1.81,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.7_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.7_ca0.5_tree.npz
