sweep,parameter,mean_test_covered_pct,mean_test_covered_rule_acc,n_architectures
same_cov,0.0,99.832,79.062,5
same_cov,0.1,92.072,82.582,5
same_cov,0.2,91.820,83.118,5
same_cov,0.3,87.936,83.598,5
same_cov,0.4,80.108,84.050,5
same_cov,0.5,81.454,83.716,5
same_cov,0.6,75.180,84.314,5
same_cov,0.7,74.506,84.134,5
same_cov,0.8,75.210,83.904,5
same_cov,0.9,71.312,84.174,5
same_cov,1.0,70.450,84.010,5
conflict,0.0,81.460,83.768,5
conflict,0.1,81.386,83.782,5
conflict,0.2,81.662,83.786,5
conflict,0.3,81.672,83.682,5
conflict,0.4,81.524,83.732,5
conflict,0.5,81.454,83.716,5
conflict,0.6,81.172,83.604,5
conflict,0.7,81.060,83.352,5
conflict,0.8,81.060,83.348,5
conflict,0.9,80.712,82.956,5
conflict,1.0,80.712,82.956,5
