rule_json_file_name,log_file_name,ckpt,arch,degree,model_test_acc,base_purity,purity_stages,max_depth,fallback_mode,sparsity_k,conflict_alpha,same_cov_alpha,n_active_neurons,avg_regimes_per_neuron,total_candidates,n_rules,train_covered_pct,test_covered_pct,test_covered_rule_acc,test_rule_acc,test_fidelity,test_covered_fidelity,n_conflicts,avg_conditions
kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1/rules_float.json,,kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 16, 2]",3,84.3339,0.9,1.0:2;0.95:3;0.9:5,3,tree,,0.1,0.5,16,9.25,224,37,77.85,78.24,86.84,82.59,91.8,95.25,82,1.76
kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.1_ca0.1/rules_float.json,,kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 16, 2]",3,84.3339,0.9,1.0:2;0.95:3;0.9:5,3,tree,,0.1,0.1,16,9.25,224,45,91.35,91.49,84.53,81.68,91.11,91.81,175,1.67
kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1/rules_float.json,,kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 32, 2]",3,84.6987,0.9,1.0:2;0.95:3;0.9:5,3,tree,,0.1,0.5,32,9.34,448,45,85.23,84.86,87.18,83.16,91.81,95.66,121,2.04
kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.1_ca0.1/rules_float.json,,kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 32, 2]",3,84.6987,0.9,1.0:2;0.95:3;0.9:5,3,tree,,0.1,0.1,32,9.34,448,53,94.21,94.01,85.26,82.1,90.37,91.44,308,2.02
kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1/rules_float.json,,kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 128, 2]",3,84.5882,0.9,1.0:2;0.95:3;0.9:5,3,tree,,0.1,0.5,122,9.49,1679,61,89.49,89.49,85.93,82.76,92.65,94.45,160,1.64
kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.1_ca0.1/rules_float.json,,kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 128, 2]",3,84.5882,0.9,1.0:2;0.95:3;0.9:5,3,tree,,0.1,0.1,122,9.49,1679,85,95.7,95.77,85.33,82.01,91.08,91.8,343,1.75
kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1/rules_float.json,,kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 16, 8, 2]",3,84.4444,0.9,1.0:2;0.95:3;0.9:5,3,tree,,0.1,0.5,16,9.31,223,29,83.98,83.99,86.9,83.12,92.64,95.6,96,1.69
kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.1_ca0.1/rules_float.json,,kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 16, 8, 2]",3,84.4444,0.9,1.0:2;0.95:3;0.9:5,3,tree,,0.1,0.1,16,9.31,223,39,89.87,89.89,86.3,82.33,92.01,93.91,179,1.77
kd_fc_14x32x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1/rules_float.json,,kd_fc_14x32x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 32, 16, 2]",3,84.5992,0.9,1.0:2;0.95:3;0.9:5,3,tree,,0.1,0.5,32,9.66,499,55,77.78,77.59,87.22,82.78,92.14,94.81,117,2.02
kd_fc_14x32x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.1_ca0.1/rules_float.json,,kd_fc_14x32x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,"[14, 32, 16, 2]",3,84.5992,0.9,1.0:2;0.95:3;0.9:5,3,tree,,0.1,0.1,32,9.66,499,66,91.72,91.3,85.09,81.82,90.86,91.78,227,1.95
