architecture,method,accuracy_pct,latency_cycles,dsp,bram,lut,ff,artifact_type,artifact_path,fallback_artifact,stored_accuracy_pct,evaluated_accuracy_pct,accuracy_source,published_minus_evaluated_pp
14x16x2,LUT,84.33,77,77,2,4329,5582,student_checkpoint,Adult/rule_checkpoints/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,,84.3338861249309,84.3338861249309,supplied post-synthesis result,-0.0038861249309007917
14x16x2,Rules,82.59,183,30,5,2997,2290,rule_json_cart,Adult/rule_jsons/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1/rules_float.json,Adult/rule_jsons/kd_fc_14x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1/fallback_tree_float.npz,82.59,82.59,supplied post-synthesis result,0.0
14x32x2,LUT,84.42,119,109,4,6019,8333,student_checkpoint,Adult/rule_checkpoints/kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,,84.69872857932559,84.6987285793256,supplied post-synthesis result,-0.2787285793256018
14x32x2,Rules,83.16,215,30,8,3009,2218,rule_json_cart,Adult/rule_jsons/kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1/rules_float.json,Adult/rule_jsons/kd_fc_14x32x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1/fallback_tree_float.npz,83.16,83.16,supplied post-synthesis result,0.0
14x128x2,LUT,84.63,376,301,28,15609,22865,student_checkpoint,Adult/rule_checkpoints/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,,84.58817025981205,84.58817025981205,supplied post-synthesis result,0.04182974018794994
14x128x2,Rules,82.76,279,30,8,3002,2217,rule_json_cart,Adult/rule_jsons/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1/rules_float.json,Adult/rule_jsons/kd_fc_14x128x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1/fallback_tree_float.npz,82.76,82.76,supplied post-synthesis result,0.0
14x16x8x2,LUT,84.33,108,96,3,5715,6912,student_checkpoint,Adult/rule_checkpoints/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,,84.44444444444444,84.44444444444444,supplied post-synthesis result,-0.11444444444444457
14x16x8x2,Rules,83.12,151,30,5,3011,2300,rule_json_cart,Adult/rule_jsons/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1/rules_float.json,Adult/rule_jsons/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1/fallback_tree_float.npz,83.12,83.12,supplied post-synthesis result,0.0
14x32x16x2,LUT,84.36,172,144,6,8352,10990,student_checkpoint,Adult/rule_checkpoints/kd_fc_14x32x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,,84.5992260917634,84.5992260917634,supplied post-synthesis result,-0.23922609176339904
14x32x16x2,Rules,82.78,255,30,8,3027,2218,rule_json_cart,Adult/rule_jsons/kd_fc_14x32x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1/rules_float.json,Adult/rule_jsons/kd_fc_14x32x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1/fallback_tree_float.npz,82.78,82.78,supplied post-synthesis result,0.0
