ckpt                                                               , arch                 , degree, n_hidden_layers, model_test_acc, n_fixed_grid, purity_threshold, min_coverage, max_depth, conflict_alpha, same_cov_alpha, n_active_neurons, avg_regimes_per_neuron, total_candidates, n_rules, train_covered_pct, test_covered_pct, test_covered_rule_acc, test_rule_acc_no_sparse, test_rule_acc_mp_sparse, test_cov_fidelity, test_total_fidelity, n_conflicts, avg_conditions, wst_mult_before_sparse, wst_mult_after_sparse, mem_floats_before_sparse, mem_floats_after_sparse
kd_fc_10x64x32x2_bern_deg3_alpha0.5_T2_lr0.003_wd0.0001_seed0.pth  , "[10, 64, 32, 2]"    , 3     , 2              , 88.3544       ,            3,             0.85,            5,         2,            0.1,            0.1,               64,                   7.02,              442,      48,             92.57,            92.43,                 88.31,                   83.41,                   84.83,             92.89,               89.8 ,         161,           1.88,                    640,                   484,                     1196,                     780
kd_fc_10x64x32x2_bern_deg3_alpha0.5_T2_lr0.003_wd0.0001_seed1.pth  , "[10, 64, 32, 2]"    , 3     , 2              , 88.4595       ,            3,             0.85,            5,         2,            0.1,            0.1,               64,                   7.14,              449,      45,             94.2 ,            94.45,                 88.48,                   82.26,                   84.25,             90.93,               89.12,         240,           1.84,                    640,                   436,                     1106,                     712
kd_fc_10x64x32x2_bern_deg3_alpha0.5_T2_lr0.003_wd0.0001_seed2.pth  , "[10, 64, 32, 2]"    , 3     , 2              , 88.4332       ,            3,             0.85,            5,         2,            0.1,            0.1,               64,                   7.06,              450,      46,             93.71,            92.25,                 88.6 ,                   82.6 ,                   83.96,             91.48,               88.64,         210,           1.89,                    640,                   383,                     1156,                     669
kd_fc_10x64x32x2_bern_deg3_alpha0.5_T2_lr0.003_wd0.0001_seed3.pth  , "[10, 64, 32, 2]"    , 3     , 2              , 88.3018       ,            3,             0.85,            5,         2,            0.1,            0.1,               64,                   6.97,              441,      44,             93.48,            92.14,                 88.59,                   83.39,                   84.41,             92.07,               89.77,         200,           1.86,                    640,                   380,                     1092,                     652
kd_fc_10x64x32x2_bern_deg3_alpha0.5_T2_lr0.003_wd0.0001_seed42.pth , "[10, 64, 32, 2]"    , 3     , 2              , 88.6961       ,            3,             0.85,            5,         2,            0.1,            0.1,               64,                   7.17,              454,      36,             93.87,            94.19,                 88.47,                   83.2 ,                   84.33,             91.79,               89.3 ,         192,           1.83,                    640,                   393,                      884,                     617

kd_fc_10x64x32x2_bern_deg3_alpha0.5_T2_lr0.003_wd0.0001_seed0.pth  , "[10, 64, 32, 2]"    , 3     , 2              , 88.3544       ,            3,             0.85,            5,         2,            0.1,            0.5,               64,                   7.02,              442,      30,             79.71,            78.92,                 89.81,                   82.86,                   83.23,             95.87,               88.83,          63,           1.9 ,                    640,                   320,                      764,                     514
kd_fc_10x64x32x2_bern_deg3_alpha0.5_T2_lr0.003_wd0.0001_seed1.pth  , "[10, 64, 32, 2]"    , 3     , 2              , 88.4595       ,            3,             0.85,            5,         2,            0.1,            0.5,               64,                   7.14,              449,      26,             78.63,            78.76,                 88.48,                   81.65,                   82.18,             93.93,               86.99,          56,           1.92,                    640,                   259,                      672,                     431
kd_fc_10x64x32x2_bern_deg3_alpha0.5_T2_lr0.003_wd0.0001_seed2.pth  , "[10, 64, 32, 2]"    , 3     , 2              , 88.4332       ,            3,             0.85,            5,         2,            0.1,            0.5,               64,                   7.06,              450,      23,             77.75,            77.76,                 89.72,                   81.52,                   82.28,             93.71,               86.25,          88,           1.91,                    640,                   214,                      594,                     368
kd_fc_10x64x32x2_bern_deg3_alpha0.5_T2_lr0.003_wd0.0001_seed3.pth  , "[10, 64, 32, 2]"    , 3     , 2              , 88.3018       ,            3,             0.85,            5,         2,            0.1,            0.5,               64,                   6.97,              441,      24,             79.75,            79.31,                 89.76,                   83.02,                   83.57,             94.23,               88.51,          82,           1.83,                    640,                   217,                      596,                     373
kd_fc_10x64x32x2_bern_deg3_alpha0.5_T2_lr0.003_wd0.0001_seed42.pth , "[10, 64, 32, 2]"    , 3     , 2              , 88.6961       ,            3,             0.85,            5,         2,            0.1,            0.5,               64,                   7.17,              454,      19,             78.49,            79.15,                 89.94,                   82.83,                   82.7 ,             95.42,               88.09,          60,           1.79,                    640,                   227,                      466,                     353

kd_fc_10x64x32x16x2_bern_deg3_alpha0_T1_lr0.003_wd0.0001_seed0.pth , "[10, 64, 32, 16, 2]", 3     , 3              , 87.408        ,            3,             0.85,            5,         2,            0.1,            0.1,               64,                   6.88,              439,      38,             93.59,            93.3 ,                 88.14,                   82.26,                   83.81,             91.86,               89.91,         244,           1.79,                    640,                   278,                      912,                     510
kd_fc_10x64x32x16x2_bern_deg3_alpha0_T1_lr0.003_wd0.0001_seed1.pth , "[10, 64, 32, 16, 2]", 3     , 3              , 88.591        ,            3,             0.85,            5,         2,            0.1,            0.1,               64,                   6.94,              442,      49,             94.12,            93.93,                 88.33,                   82.36,                   83.65,             90.62,               88.62,         261,           1.9 ,                    640,                   489,                     1234,                     793
kd_fc_10x64x32x16x2_bern_deg3_alpha0_T1_lr0.003_wd0.0001_seed2.pth , "[10, 64, 32, 16, 2]", 3     , 3              , 87.9863       ,            3,             0.85,            5,         2,            0.1,            0.1,               64,                   7.12,              443,      46,             91.59,            91.96,                 88.54,                   83.7 ,                   84.73,             92.37,               90.19,         184,           1.87,                    640,                   386,                     1144,                     670
kd_fc_10x64x32x16x2_bern_deg3_alpha0_T1_lr0.003_wd0.0001_seed3.pth , "[10, 64, 32, 16, 2]", 3     , 3              , 87.224        ,            3,             0.85,            5,         2,            0.1,            0.1,               64,                   7.12,              449,      51,             92.74,            92.74,                 88.75,                   83.6 ,                   84.81,             92.46,               91.01,         244,           1.84,                    640,                   412,                     1250,                     722
kd_fc_10x64x32x16x2_bern_deg3_alpha0_T1_lr0.003_wd0.0001_seed42.pth, "[10, 64, 32, 16, 2]", 3     , 3              , 87.7497       ,            3,             0.85,            5,         2,            0.1,            0.1,               64,                   6.97,              443,      47,             93.4 ,            93.35,                 87.72,                   83.54,                   83.94,             91.75,               89.64,         154,           1.81,                    640,                   374,                     1134,                     658

kd_fc_10x64x32x16x2_bern_deg3_alpha0_T1_lr0.003_wd0.0001_seed0.pth , "[10, 64, 32, 16, 2]", 3     , 3              , 87.408        ,            3,             0.85,            5,         2,            0.1,            0.5,               64,                   6.88,              439,      18,             77.77,            77.21,                 88.49,                   82.7 ,                   82.41,             95.34,               89.77,          65,           1.83,                    640,                   128,                      452,                     250
kd_fc_10x64x32x16x2_bern_deg3_alpha0_T1_lr0.003_wd0.0001_seed1.pth , "[10, 64, 32, 16, 2]", 3     , 3              , 88.591        ,            3,             0.85,            5,         2,            0.1,            0.5,               64,                   6.94,              442,      23,             80.55,            79.73,                 89.58,                   82.81,                   82.89,             93.57,               87.96,          77,           1.87,                    640,                   214,                      582,                     366
