model                 , status, latency_cycles, clock_ns, latency_us, interval, BRAM_18K, DSP, FF   , LUT  , URAM, BRAM_18K_avail, DSP_avail, FF_avail, LUT_avail, URAM_avail
bern_d3_54x8x7        , OK    ,            189,      7.3,     1.3797,      190,       26,  75,  5817,  7025,    0,            288,      1248,   234240,    117120,         64
bern_d3_54x12x7       , OK    ,            309,      7.3,     2.2557,      310,       31,  79,  6475,  8699,    0,            288,      1248,   234240,    117120,         64
bern_d3_54x32x7       , OK    ,            397,      7.3,     2.8981,      398,       52, 195,  9255, 11875,    0,            288,      1248,   234240,    117120,         64
bern_d3_54x64x7       , OK    ,            729,      7.3,     5.3217,      730,       62, 195, 11684, 15696,    0,            288,      1248,   234240,    117120,         64
bern_d3_54x128x7      , OK    ,           1389,      7.3,    10.1397,     1390,       67, 195,  8627, 13923,    0,            288,      1248,   234240,    117120,         64
bern_d3_54x256x7      , OK    ,           2709,      7.3,    19.7757,     2710,       73, 195,  8643, 14103,    0,            288,      1248,   234240,    117120,         64
bern_d5_54x12x7       , OK    ,            309,      7.3,     2.2557,      310,       31,  79,  6469,  8698,    0,            288,      1248,   234240,    117120,         64
bern_d5_54x256x7      , OK    ,           2709,      7.3,    19.7757,     2710,       73, 195,  8643, 14103,    0,            288,      1248,   234240,    117120,         64
bern_d3_54x64x32x7    , OK    ,            963,      7.3,     7.0299,      964,      105, 326, 15519, 21815,    0,            288,      1248,   234240,    117120,         64
bern_d3_54x128x64x7   , OK    ,           2481,      7.3,    18.1113,     2482,      136, 326, 14376, 23824,    0,            288,      1248,   234240,    117120,         64
bern_d3_54x256x128x7  , OK    ,           7433,      7.3,    54.2609,     7434,      179, 326, 12391, 23063,    0,            288,      1248,   234240,    117120,         64
bern_d5_54x128x64x7   , OK    ,           2481,      7.3,    18.1113,     2482,      136, 326, 14376, 23824,    0,            288,      1248,   234240,    117120,         64
bern_d5_54x256x128x7  , OK    ,           7433,      7.3,    54.2609,     7434,      179, 326, 12391, 23063,    0,            288,      1248,   234240,    117120,         64
bern_d3_54x128x64x64x7, OK    ,           3076,      7.3,    22.4548,     3077,      189, 456, 20609, 33765,    0,            288,      1248,   234240,    117120,         64
relu_54x8x7           , OK    ,            188,      7.3,     1.3724,      189,       25,  80,  5592,  6727,    0,            288,      1248,   234240,    117120,         64
relu_54x12x7          , OK    ,            308,      7.3,     2.2484,      309,       29,  80,  6456,  8429,    0,            288,      1248,   234240,    117120,         64
relu_54x32x7          , OK    ,            396,      7.3,     2.8908,      397,       49, 200,  9516, 11614,    0,            288,      1248,   234240,    117120,         64
relu_54x64x7          , OK    ,            727,      7.3,     5.3071,      728,       57, 200,  9898, 14450,    0,            288,      1248,   234240,    117120,         64
relu_54x128x7         , OK    ,           1387,      7.3,    10.1251,     1388,       57, 200,  8928, 13659,    0,            288,      1248,   234240,    117120,         64
relu_54x256x7         , OK    ,           2707,      7.3,    19.7611,     2708,       57, 200,  8955, 13837,    0,            288,      1248,   234240,    117120,         64
relu_54x64x32x7       , OK    ,            960,      7.3,     7.008 ,      961,      113, 360, 13738, 20213,    0,            288,      1248,   234240,    117120,         64
relu_54x128x64x7      , OK    ,           2477,      7.3,    18.0821,     2478,      137, 360, 12567, 22207,    0,            288,      1248,   234240,    117120,         64
relu_54x256x128x7     , OK    ,           7429,      7.3,    54.2317,     7430,      169, 360, 12565, 22432,    0,            288,      1248,   234240,    117120,         64
relu_54x128x64x64x7   , OK    ,           3072,      7.3,    22.4256,     3073,      217, 520, 16790, 30809,    0,            288,      1248,   234240,    117120,         64
