budget_latency_cycles,budget_bram_18k,activation,hidden_layers,degree,alpha,temperature,fold_id,seed,checkpoint_path,stored_accuracy_percent,recomputed_accuracy_percent,absolute_difference_pp
200,30,bern,[8],3,0.85,2,0,1000,cover_type/student_model_weights/kd_fc_54x8x7_bern_deg3_alpha0.85_T2_lr0.006_wd0.0001_seed1000.pth,75.9351477878,75.9351477878,1.42108547152e-14
200,30,bern,[8],3,0.85,2,1,1001,cover_type/student_model_weights/kd_fc_54x8x7_bern_deg3_alpha0.85_T2_lr0.006_wd0.0001_seed1001.pth,76.1531577015,76.1531577015,0
200,30,bern,[8],3,0.85,2,2,1002,cover_type/student_model_weights/kd_fc_54x8x7_bern_deg3_alpha0.85_T2_lr0.006_wd0.0001_seed1002.pth,76.9838902148,76.9838902148,1.42108547152e-14
200,30,bern,[8],3,0.85,2,3,1003,cover_type/student_model_weights/kd_fc_54x8x7_bern_deg3_alpha0.85_T2_lr0.006_wd0.0001_seed1003.pth,76.6454011382,76.6454011382,1.42108547152e-14
200,30,bern,[8],3,0.85,2,4,1004,cover_type/student_model_weights/kd_fc_54x8x7_bern_deg3_alpha0.85_T2_lr0.006_wd0.0001_seed1004.pth,76.7612906187,76.7612906187,0
200,30,relu,[8],,0.5,4,0,1000,cover_type/student_model_weights/kd_fc_54x8x7_relu_degNA_alpha0.5_T4_lr0.006_wd0.0001_seed1000.pth,74.9678722232,74.9678722232,0
200,30,relu,[8],,0.5,4,1,1001,cover_type/student_model_weights/kd_fc_54x8x7_relu_degNA_alpha0.5_T4_lr0.006_wd0.0001_seed1001.pth,74.9357444465,74.9357444465,1.42108547152e-14
200,30,relu,[8],,0.5,4,2,1002,cover_type/student_model_weights/kd_fc_54x8x7_relu_degNA_alpha0.5_T4_lr0.006_wd0.0001_seed1002.pth,75.0183587296,75.0183587296,1.42108547152e-14
200,30,relu,[8],,0.5,4,3,1003,cover_type/student_model_weights/kd_fc_54x8x7_relu_degNA_alpha0.5_T4_lr0.006_wd0.0001_seed1003.pth,74.8060859189,74.8060859189,0
200,30,relu,[8],,0.5,4,4,1004,cover_type/student_model_weights/kd_fc_54x8x7_relu_degNA_alpha0.5_T4_lr0.006_wd0.0001_seed1004.pth,74.9127960345,74.9127960345,1.42108547152e-14
