dataset,architecture,activation,degree,fold_id,seed,checkpoint_path,recomputed_accuracy_percent,recomputed_train_ce,recomputed_test_ce,stored_accuracy_percent,absolute_accuracy_difference_pp
HIGGS-Small,28x128x2,bern,3.0,0,42,higgs_small/student_model_weights/kd_fc_28x128x2_bern_deg3_alpha0.7_T2_lr0.006_wd0_seed42.pth,72.32798477019308,0.5067613418293365,0.5337728913756924,72.3279847701931,1.4210854715202004e-14
HIGGS-Small,28x128x2,bern,3.0,1,43,higgs_small/student_model_weights/kd_fc_28x128x2_bern_deg3_alpha0.7_T2_lr0.006_wd0_seed43.pth,72.69513190100626,0.5080140077222786,0.5331272268412001,72.69513190100625,1.4210854715202004e-14
HIGGS-Small,28x128x2,bern,3.0,2,44,higgs_small/student_model_weights/kd_fc_28x128x2_bern_deg3_alpha0.7_T2_lr0.006_wd0_seed44.pth,72.74272504759315,0.5040484983505026,0.5322176741133704,72.74272504759314,1.4210854715202004e-14
HIGGS-Small,28x128x2,bern,3.0,3,45,higgs_small/student_model_weights/kd_fc_28x128x2_bern_deg3_alpha0.7_T2_lr0.006_wd0_seed45.pth,72.39597497960294,0.5138295167240513,0.5350490915473791,72.39597497960294,0.0
HIGGS-Small,28x128x2,bern,3.0,4,46,higgs_small/student_model_weights/kd_fc_28x128x2_bern_deg3_alpha0.7_T2_lr0.006_wd0_seed46.pth,72.49116127277672,0.5122013796554632,0.5329397590646026,72.49116127277672,0.0
HIGGS-Small,28x128x2,relu,,0,42,higgs_small/student_model_weights/kd_fc_28x128x2_relu_degNA_alpha0.85_T2_lr0.006_wd0_seed42.pth,71.98123470220288,0.5218815768340065,0.5402183009776078,71.98123470220288,0.0
HIGGS-Small,28x128x2,relu,,1,43,higgs_small/student_model_weights/kd_fc_28x128x2_relu_degNA_alpha0.85_T2_lr0.006_wd0_seed43.pth,71.83165624150122,0.5234093383863556,0.5405122085631721,71.83165624150122,0.0
HIGGS-Small,28x128x2,relu,,2,44,higgs_small/student_model_weights/kd_fc_28x128x2_relu_degNA_alpha0.85_T2_lr0.006_wd0_seed44.pth,72.19880337231439,0.517840790493453,0.5359655170457532,72.19880337231439,0.0
HIGGS-Small,28x128x2,relu,,3,45,higgs_small/student_model_weights/kd_fc_28x128x2_relu_degNA_alpha0.85_T2_lr0.006_wd0_seed45.pth,71.91324449279304,0.5213349075009888,0.5401482486452523,71.91324449279304,0.0
HIGGS-Small,28x128x2,relu,,4,46,higgs_small/student_model_weights/kd_fc_28x128x2_relu_degNA_alpha0.85_T2_lr0.006_wd0_seed46.pth,72.50475931465868,0.5189131803319688,0.5362951865914661,72.50475931465868,0.0
HIGGS-Small,28x16x2,bern,3.0,0,42,higgs_small/student_model_weights/kd_fc_28x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0_seed42.pth,71.79086211585532,0.5392052397071128,0.5444413197569008,71.79086211585532,0.0
HIGGS-Small,28x16x2,bern,3.0,1,43,higgs_small/student_model_weights/kd_fc_28x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0_seed43.pth,72.05602393255371,0.5369643451898493,0.5419744175836253,72.05602393255371,0.0
HIGGS-Small,28x16x2,bern,3.0,2,44,higgs_small/student_model_weights/kd_fc_28x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0_seed44.pth,72.25999456078324,0.5367179694536962,0.5425805820859837,72.25999456078324,0.0
HIGGS-Small,28x16x2,bern,3.0,3,45,higgs_small/student_model_weights/kd_fc_28x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0_seed45.pth,72.1036170791406,0.5368772701657968,0.5429307399705146,72.1036170791406,0.0
HIGGS-Small,28x16x2,bern,3.0,4,46,higgs_small/student_model_weights/kd_fc_28x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0_seed46.pth,72.09001903725863,0.5399605740805048,0.5459614838631801,72.09001903725863,0.0
HIGGS-Small,28x16x2,relu,,0,42,higgs_small/student_model_weights/kd_fc_28x16x2_relu_degNA_alpha0.85_T2_lr0.006_wd0_seed42.pth,70.9613815610552,0.5503534722133652,0.5543566245341515,70.9613815610552,0.0
HIGGS-Small,28x16x2,relu,,1,43,higgs_small/student_model_weights/kd_fc_28x16x2_relu_degNA_alpha0.85_T2_lr0.006_wd0_seed43.pth,71.0089747076421,0.5545628483664513,0.558118272985101,71.0089747076421,0.0
HIGGS-Small,28x16x2,relu,,2,44,higgs_small/student_model_weights/kd_fc_28x16x2_relu_degNA_alpha0.85_T2_lr0.006_wd0_seed44.pth,71.07696491705194,0.5502838024607037,0.5558908967372675,71.07696491705194,0.0
HIGGS-Small,28x16x2,relu,,3,45,higgs_small/student_model_weights/kd_fc_28x16x2_relu_degNA_alpha0.85_T2_lr0.006_wd0_seed45.pth,70.66902366059288,0.5512835129559315,0.5587694043694289,70.66902366059287,1.4210854715202004e-14
HIGGS-Small,28x16x2,relu,,4,46,higgs_small/student_model_weights/kd_fc_28x16x2_relu_degNA_alpha0.85_T2_lr0.006_wd0_seed46.pth,71.20614631493065,0.552911580617332,0.5555117289787211,71.20614631493065,0.0
HIGGS-Small,28x16x8x2,bern,3.0,0,42,higgs_small/student_model_weights/kd_fc_28x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0_seed42.pth,72.14441120478651,0.5281607657420655,0.5377384510123279,72.14441120478651,0.0
HIGGS-Small,28x16x8x2,bern,3.0,1,43,higgs_small/student_model_weights/kd_fc_28x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0_seed43.pth,72.09001903725863,0.5294855814682202,0.536830602017699,72.09001903725863,0.0
HIGGS-Small,28x16x8x2,bern,3.0,2,44,higgs_small/student_model_weights/kd_fc_28x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0_seed44.pth,72.30758770737013,0.5286595671968946,0.5344580452436334,72.30758770737013,0.0
HIGGS-Small,28x16x8x2,bern,3.0,3,45,higgs_small/student_model_weights/kd_fc_28x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0_seed45.pth,72.4503671471308,0.5281664466885803,0.5360198680849415,72.45036714713082,1.4210854715202004e-14
HIGGS-Small,28x16x8x2,bern,3.0,4,46,higgs_small/student_model_weights/kd_fc_28x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0_seed46.pth,72.1104161000816,0.532160419876603,0.5386101507868234,72.1104161000816,0.0
HIGGS-Small,28x16x8x2,relu,,0,42,higgs_small/student_model_weights/kd_fc_28x16x8x2_relu_degNA_alpha0.85_T2_lr0.006_wd0_seed42.pth,71.43051400598314,0.541725384207804,0.5481250675469597,71.43051400598314,0.0
HIGGS-Small,28x16x8x2,relu,,1,43,higgs_small/student_model_weights/kd_fc_28x16x8x2_relu_degNA_alpha0.85_T2_lr0.006_wd0_seed43.pth,71.85205330432419,0.5394230373589844,0.5436933180998614,71.85205330432417,1.4210854715202004e-14
HIGGS-Small,28x16x8x2,relu,,2,44,higgs_small/student_model_weights/kd_fc_28x16x8x2_relu_degNA_alpha0.85_T2_lr0.006_wd0_seed44.pth,71.91324449279304,0.5373363147756651,0.5435157027911128,71.91324449279304,0.0
HIGGS-Small,28x16x8x2,relu,,3,45,higgs_small/student_model_weights/kd_fc_28x16x8x2_relu_degNA_alpha0.85_T2_lr0.006_wd0_seed45.pth,71.95403861843894,0.5379462710458253,0.5435435769996924,71.95403861843894,0.0
HIGGS-Small,28x16x8x2,relu,,4,46,higgs_small/student_model_weights/kd_fc_28x16x8x2_relu_degNA_alpha0.85_T2_lr0.006_wd0_seed46.pth,72.02882784878977,0.5390675549991824,0.5439850864508958,72.02882784878977,0.0
Covertype,54x128x64x7,bern,5.0,0,1000,cover_type/student_model_weights/kd_fc_54x128x64x7_bern_deg5_alpha0_T1_lr0.006_wd0.0001_seed1000.pth,95.01331007894254,0.07741881283494569,0.14397008314096799,95.01331007894254,0.0
Covertype,54x128x64x7,bern,5.0,1,1001,cover_type/student_model_weights/kd_fc_54x128x64x7_bern_deg5_alpha0_T1_lr0.006_wd0.0001_seed1001.pth,95.09018725904167,0.07493081044932064,0.13754614729421258,95.09018725904167,0.0
Covertype,54x128x64x7,bern,5.0,2,1002,cover_type/student_model_weights/kd_fc_54x128x64x7_bern_deg5_alpha0_T1_lr0.006_wd0.0001_seed1002.pth,95.06953368826878,0.0756240813952071,0.14044259742999352,95.06953368826878,0.0
Covertype,54x128x64x7,bern,5.0,3,1003,cover_type/student_model_weights/kd_fc_54x128x64x7_bern_deg5_alpha0_T1_lr0.006_wd0.0001_seed1003.pth,95.11887277400403,0.07487715206002665,0.137275077595456,95.11887277400403,0.0
Covertype,54x128x64x7,bern,5.0,4,1004,cover_type/student_model_weights/kd_fc_54x128x64x7_bern_deg5_alpha0_T1_lr0.006_wd0.0001_seed1004.pth,94.98003488158619,0.07512776706426115,0.14171214040067187,94.98003488158619,0.0
Covertype,54x128x64x7,relu,,0,1000,cover_type/student_model_weights/kd_fc_54x128x64x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1000.pth,93.8131081329172,0.12565584244509106,0.18785800488827445,93.81310813291721,1.4210854715202004e-14
Covertype,54x128x64x7,relu,,1,1001,cover_type/student_model_weights/kd_fc_54x128x64x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1001.pth,93.41036350284561,0.14393960246820425,0.19741676237187256,93.4103635028456,1.4210854715202004e-14
Covertype,54x128x64x7,relu,,2,1002,cover_type/student_model_weights/kd_fc_54x128x64x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1002.pth,93.4092160822471,0.14059859464632293,0.1919210393597976,93.40921608224711,1.4210854715202004e-14
Covertype,54x128x64x7,relu,,3,1003,cover_type/student_model_weights/kd_fc_54x128x64x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1003.pth,93.41954286763357,0.13891340099078686,0.19573524901248435,93.41954286763357,0.0
Covertype,54x128x64x7,relu,,4,1004,cover_type/student_model_weights/kd_fc_54x128x64x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1004.pth,93.60427758399119,0.13452438802192032,0.18959337041501453,93.60427758399119,0.0
Covertype,54x256x128x7,bern,5.0,0,1000,cover_type/student_model_weights/kd_fc_54x256x128x7_bern_deg5_alpha0.5_T2_lr0.006_wd0.0001_seed1000.pth,96.41660547090142,0.027073794529092407,0.1175080351552023,96.41660547090142,0.0
Covertype,54x256x128x7,bern,5.0,1,1001,cover_type/student_model_weights/kd_fc_54x256x128x7_bern_deg5_alpha0.5_T2_lr0.006_wd0.0001_seed1001.pth,96.38103543234809,0.026618884736217565,0.11554479291236835,96.38103543234809,0.0
Covertype,54x256x128x7,bern,5.0,2,1002,cover_type/student_model_weights/kd_fc_54x256x128x7_bern_deg5_alpha0.5_T2_lr0.006_wd0.0001_seed1002.pth,96.4005415825225,0.02593234598913312,0.1166033572820823,96.4005415825225,0.0
Covertype,54x256x128x7,bern,5.0,3,1003,cover_type/student_model_weights/kd_fc_54x256x128x7_bern_deg5_alpha0.5_T2_lr0.006_wd0.0001_seed1003.pth,96.39021479713604,0.026397768077818285,0.11760899149892264,96.39021479713604,0.0
Covertype,54x256x128x7,bern,5.0,4,1004,cover_type/student_model_weights/kd_fc_54x256x128x7_bern_deg5_alpha0.5_T2_lr0.006_wd0.0001_seed1004.pth,96.36726638516615,0.02638836185204716,0.11659389150751082,96.36726638516615,0.0
Covertype,54x256x128x7,relu,,0,1000,cover_type/student_model_weights/kd_fc_54x256x128x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1000.pth,95.60652652836423,0.05438939424479292,0.13795569861878468,95.60652652836424,1.4210854715202004e-14
Covertype,54x256x128x7,relu,,1,1001,cover_type/student_model_weights/kd_fc_54x256x128x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1001.pth,95.4894896273178,0.060071808523433794,0.1431311416023036,95.4894896273178,0.0
Covertype,54x256x128x7,relu,,2,1002,cover_type/student_model_weights/kd_fc_54x256x128x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1002.pth,95.58587295759133,0.0536205680205925,0.13843090659065904,95.58587295759133,0.0
Covertype,54x256x128x7,relu,,3,1003,cover_type/student_model_weights/kd_fc_54x256x128x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1003.pth,95.59734716357629,0.05599228877317585,0.1401601753566754,95.59734716357627,1.4210854715202004e-14
Covertype,54x256x128x7,relu,,4,1004,cover_type/student_model_weights/kd_fc_54x256x128x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1004.pth,95.81076739489627,0.05250738384732788,0.13390099486616175,95.81076739489627,0.0
Covertype,54x64x32x7,bern,3.0,0,1000,cover_type/student_model_weights/kd_fc_54x64x32x7_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed1000.pth,91.07192032311364,0.21760724204313045,0.25549242682843903,91.07192032311364,0.0
Covertype,54x64x32x7,bern,3.0,1,1001,cover_type/student_model_weights/kd_fc_54x64x32x7_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed1001.pth,91.10863778226546,0.21602089910792902,0.25174884913529916,91.10863778226546,0.0
Covertype,54x64x32x7,bern,3.0,2,1002,cover_type/student_model_weights/kd_fc_54x64x32x7_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed1002.pth,90.72310446117129,0.232883617558297,0.26282875473474787,90.72310446117129,0.0
Covertype,54x64x32x7,bern,3.0,3,1003,cover_type/student_model_weights/kd_fc_54x64x32x7_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed1003.pth,91.0581512759317,0.22404657514772722,0.2519194768977336,91.0581512759317,0.0
Covertype,54x64x32x7,bern,3.0,4,1004,cover_type/student_model_weights/kd_fc_54x64x32x7_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed1004.pth,91.49646594455663,0.21058255946853927,0.24225172679922616,91.49646594455663,0.0
Covertype,54x64x32x7,relu,,0,1000,cover_type/student_model_weights/kd_fc_54x64x32x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1000.pth,89.2991554984395,0.2739974057230746,0.30247648624142137,89.2991554984395,0.0
Covertype,54x64x32x7,relu,,1,1001,cover_type/student_model_weights/kd_fc_54x64x32x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1001.pth,89.16720212961263,0.277353505198182,0.30572935190357503,89.16720212961263,0.0
Covertype,54x64x32x7,relu,,2,1002,cover_type/student_model_weights/kd_fc_54x64x32x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1002.pth,87.72259959610795,0.31329870120325126,0.33242225894823807,87.72259959610795,0.0
Covertype,54x64x32x7,relu,,3,1003,cover_type/student_model_weights/kd_fc_54x64x32x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1003.pth,89.93712135120249,0.2535713997724998,0.28045535900351193,89.93712135120249,0.0
Covertype,54x64x32x7,relu,,4,1004,cover_type/student_model_weights/kd_fc_54x64x32x7_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed1004.pth,88.70364420782082,0.29194875162470335,0.31661695399502343,88.70364420782082,0.0
Adult,14x128x2,bern,3.0,4,10,Adult/student_model_weights/kd_fc_14x128x2_bern_deg3_alpha0_T1_lr0.006_wd0.0001_seed10.pth,84.64344941956882,0.30906613429046914,0.32056725378060225,84.64344941956882,0.0
