dataset,architecture,activation,latency_cycles,dsp,bram_18k,lut
HIGGS-Small,28x16x2,relu,85,108,0,5397
HIGGS-Small,28x16x2,bern,87,106,2,5682
HIGGS-Small,28x16x8x2,relu,121,156,0,6852
HIGGS-Small,28x16x8x2,bern,125,135,3,7294
HIGGS-Small,28x128x2,relu,337,108,34,5114
HIGGS-Small,28x128x2,bern,339,103,44,5410
Covertype,54x64x32x7,relu,960,360,113,20213
Covertype,54x64x32x7,bern,963,326,105,21815
Covertype,54x128x64x7,relu,2477,360,137,22207
Covertype,54x128x64x7,bern,2481,326,136,23824
Covertype,54x256x128x7,relu,7429,360,169,22432
Covertype,54x256x128x7,bern,7433,326,179,23063
Adult,14x16x2,relu,68,69,0,3823
Adult,14x16x2,bern,70,69,2,4113
Adult,14x32x16x2,relu,161,163,1,7739
Adult,14x32x16x2,bern,165,136,6,8132
Adult,14x128x2,relu,321,67,20,3595
Adult,14x128x2,bern,323,61,30,3892
