dataset,architecture,activation,degree,accuracy_mean_percent,accuracy_std_percent,ce_loss_mean,ce_loss_std,test_ce_mean,test_ce_std,n_folds,delta_accuracy_pp,delta_ce_loss,latency_cycles,dsp,bram_18k,lut
HIGGS-Small,28x16x2,relu,,70.98449823225455,0.19895705821310855,0.5518790433227567,0.0018368287762359672,0.556529385520934,0.0018511098620732868,5,1.075605112863741,-0.01393396360336474,85,108,0,5397
HIGGS-Small,28x16x2,bern,3.0,72.06010334511829,0.16974419940510285,0.537945079719392,0.0015213544769951428,0.5435777086520408,0.0016133490409202566,5,1.075605112863741,-0.01393396360336474,87,106,2,5682
HIGGS-Small,28x16x8x2,relu,,71.83573565406581,0.2354562894192951,0.5390997124774922,0.0016911330306081955,0.5445725503777045,0.0019946337091993585,5,0.3848245852597074,-0.009773156283019557,121,156,0,6852
HIGGS-Small,28x16x8x2,bern,3.0,72.22056023932552,0.15439916400143017,0.5293265561944727,0.0016737583587591019,0.536731423429085,0.0015990713564779148,5,0.3848245852597074,-0.009773156283019557,125,135,3,7294
HIGGS-Small,28x128x2,relu,,72.08593962469403,0.2709220028777448,0.5206759587093546,0.0022641035450794364,0.5386278923646504,0.002286989772335317,5,0.444655969540392,-0.011705009853028137,337,108,34,5114
HIGGS-Small,28x128x2,bern,3.0,72.53059559423443,0.18220868725152103,0.5089709488563264,0.004002186383820135,0.5334213285884489,0.0010654104588430486,5,0.444655969540392,-0.011705009853028137,339,103,44,5410
Covertype,54x64x32x7,relu,,88.96594455663669,0.8230168091511755,0.2820339527043422,0.022205840064998678,0.307540082018354,0.0191312133709702,5,2.125711400771067,-0.061805774039217554,960,360,113,20213
Covertype,54x64x32x7,bern,3.0,91.09165595740775,0.2745458852318253,0.22022817866512462,0.00854910470475731,0.2528482468790892,0.007432357491766427,5,2.125711400771067,-0.061805774039217554,963,326,105,21815
Covertype,54x128x64x7,relu,,93.53130163392693,0.1780177852650899,0.1367263657144651,0.007057146305028373,0.1925048852094887,0.0040302939921420255,5,1.5230861024417095,-0.061130640953712845,2477,360,137,22207
Covertype,54x128x64x7,bern,5.0,95.05438773636864,0.05675615983162697,0.07559572476075224,0.0010608836409408714,0.14018920917226038,0.0028353338445850054,5,1.5230861024417095,-0.061130640953712845,2481,326,136,23824
Covertype,54x256x128x7,relu,,95.61800073434918,0.11754202597046909,0.05531628868186459,0.002945186467570192,0.1387157834069169,0.0033698193006403937,5,0.773131999265658,-0.02883405764500288,7429,360,169,22432
Covertype,54x256x128x7,bern,5.0,96.39113273361484,0.018773568328656568,0.02648223103686171,0.00041440939296528105,0.11677181367121729,0.0008379293798863878,5,0.773131999265658,-0.02883405764500288,7433,326,179,23063
Adult,14x16x2,relu,,84.0597014925373,0.3891118863812678,0.32391769525052533,0.0050762184107837095,0.33230720996988483,0.007181389310955169,5,0.5262576008844917,-0.005688230135601213,68,69,0,3823
Adult,14x16x2,bern,3.0,84.58595909342179,0.2279754369270446,0.3182294651149241,0.0033098661893695433,0.3254602411143881,0.0014117702587003714,5,0.5262576008844917,-0.005688230135601213,70,69,2,4113
Adult,14x32x16x2,relu,,84.4776119402985,0.12136262244388947,0.31284084273064783,0.00247235631709227,0.32690816229057945,0.0018216340800750084,5,0.44002211166390737,-0.008094882733732434,161,163,1,7739
Adult,14x32x16x2,bern,5.0,84.91763405196241,0.125910345848606,0.3047459599969154,0.003411788796085166,0.3212176595200749,0.0008813862914985232,5,0.44002211166390737,-0.008094882733732434,165,136,6,8132
Adult,14x128x2,relu,,84.56826976229961,0.21628214093233086,0.30846404901904767,0.003606663689892113,0.3269646169692525,0.0017196231922679535,5,0.2564953012714284,-0.001023467648967935,321,67,20,3595
Adult,14x128x2,bern,3.0,84.82476506357104,0.14385332609683962,0.30744058137007974,0.00307322912474161,0.32229221903269567,0.0027667037934199844,5,0.2564953012714284,-0.001023467648967935,323,61,30,3892
